Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
491498,00000174,false,Rx,0,8,FF,EF,FE,AA,0C,00,00,00,
491503,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
495609,00000160,false,Rx,0,7,33,C3,23,00,08,FF,E8,00,
495625,00000002,false,Rx,0,5,0D,00,00,07,B1,00,00,00,
499682,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
499699,00000284,false,Rx,0,8,00,00,00,00,00,00,28,AE,
503790,00000174,false,Rx,0,8,FF,EF,FE,AA,0D,00,00,00,
503806,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
503810,00000515,false,Rx,0,4,02,00,00,00,00,00,00,00,
507890,00000002,false,Rx,0,5,0D,00,00,07,82,00,00,00,
507906,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
511971,00000292,false,Rx,0,8,FF,F8,0B,80,0F,FE,0E,00,
511988,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
511992,00000280,false,Rx,0,8,03,3D,C0,00,00,00,D8,40,
516061,00000580,false,Rx,0,5,00,82,40,B0,6C,00,00,00,
516078,00000002,false,Rx,0,5,0D,00,00,07,93,00,00,00,
520121,00000625,false,Rx,0,6,02,E0,FF,1D,20,00,00,00,
520139,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
520143,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
524390,00000160,false,Rx,0,7,33,D3,22,00,08,FF,E8,00,
524419,00000182,false,Rx,0,8,00,00,00,00,00,10,40,CF,
528357,000001F9,false,Rx,0,8,28,00,14,69,00,00,51,A8,
528376,0000060D,false,Rx,0,8,06,06,00,00,00,00,00,00,
528380,00000176,false,Rx,0,7,00,00,02,49,00,00,00,00,
532467,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
532483,00000285,false,Rx,0,8,00,00,00,00,00,00,29,B0,
536491,00000280,false,Rx,0,8,03,3E,C0,00,00,00,DC,40,
536511,00000160,false,Rx,0,7,33,D3,22,00,08,FF,E8,00,
540592,00000284,false,Rx,0,8,00,00,00,00,00,00,2A,B0,
540611,00000174,false,Rx,0,8,FF,EF,FE,AA,01,00,00,00,
540616,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
544728,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
544744,00000160,false,Rx,0,7,33,D3,23,00,08,FF,E8,00,
544749,00000002,false,Rx,0,5,0D,00,00,07,C6,00,00,00,
548852,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
548868,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E0,
552942,00000174,false,Rx,0,8,FF,EF,FE,AA,02,00,00,00,
552958,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
557063,000001F9,false,Rx,0,8,28,00,14,69,00,00,51,A8,
557080,00000002,false,Rx,0,5,0D,00,00,07,D7,00,00,00,
561109,00000285,false,Rx,0,8,00,00,00,00,00,00,2B,B2,
561126,00000284,false,Rx,0,8,00,00,00,00,00,00,2B,B1,
561130,00000355,false,Rx,0,7,00,00,00,00,00,00,40,00,
565235,000001F9,false,Rx,0,8,28,00,14,69,00,00,51,A8,
565251,00000358,false,Rx,0,8,00,88,00,00,00,00,00,00,
569306,00000002,false,Rx,0,5,0D,00,00,07,28,00,00,00,
569322,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
573433,00000354,false,Rx,0,8,00,00,00,00,00,00,14,00,
573449,00000280,false,Rx,0,8,03,3F,C0,00,00,00,D8,40,
573454,00000160,false,Rx,0,7,33,D3,22,00,08,FF,E8,00,
577506,00000551,false,Rx,0,8,78,7B,00,80,FF,02,80,FF,
577522,00000002,false,Rx,0,5,0D,00,00,07,39,00,00,00,
581609,00000625,false,Rx,0,6,02,E0,FF,1D,20,00,00,00,
581626,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
581631,00000180,false,Rx,0,8,14,69,32,23,3D,00,31,11,
585708,00000160,false,Rx,0,7,33,D3,22,00,08,FF,E8,00,
585724,00000180,false,Rx,0,8,14,69,32,23,3D,00,36,11,
589809,00000351,false,Rx,0,8,00,00,00,00,00,00,00,06,
589826,00000176,false,Rx,0,7,00,00,02,47,00,00,06,00,
589830,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
593881,00000182,false,Rx,0,8,00,00,00,00,00,16,40,CF,
593897,00000280,false,Rx,0,8,03,3F,C0,00,00,00,DB,40,
598009,00000160,false,Rx,0,7,33,D3,22,00,08,FF,E8,00,
598049,00000285,false,Rx,0,8,00,00,00,00,00,00,2D,B4,
602091,00000284,false,Rx,0,8,00,00,00,00,00,00,2D,B3,
602107,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
606200,0000054C,false,Rx,0,8,78,78,C0,00,00,80,04,08,
606215,00000216,false,Rx,0,2,42,6C,00,00,00,00,00,00,
606220,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
610283,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
610300,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E3,
610305,00000177,false,Rx,0,8,FE,10,00,00,00,F8,00,00,
614365,00000280,false,Rx,0,8,03,3E,C0,00,00,00,D7,40,
614382,000001F9,false,Rx,0,8,28,00,14,82,00,00,51,A8,
618445,00000002,false,Rx,0,5,0D,00,00,07,7D,00,00,00,
618462,000002DE,false,Rx,0,8,02,00,80,04,C0,00,05,D1,
622606,00000284,false,Rx,0,8,00,00,00,00,00,00,2E,B4,
622626,00000174,false,Rx,0,8,FF,EF,FE,AA,09,00,00,00,
626615,0000060D,false,Rx,0,8,06,06,00,00,00,00,00,00,
626634,00000182,false,Rx,0,8,00,00,00,00,00,1A,40,CF,
626639,00000002,false,Rx,0,5,0D,00,00,07,4E,00,00,00,
630750,00000215,false,Rx,0,6,FF,F4,FF,00,FF,FF,00,00,
630766,00000245,false,Rx,0,8,FF,E0,00,18,00,00,FF,E0,
634856,00000280,false,Rx,0,8,03,3E,C0,00,00,00,D4,40,
634872,000005C5,false,Rx,0,8,44,01,CF,E2,00,0C,00,7F,
638964,00000160,false,Rx,0,7,33,D3,22,00,08,FF,E8,00,
